alg,MM,K,W,tot,single,multi,miss
aln,0,19,100,10702306,4200492,1523443,4978371
aln,2,19,100,10702306,5709355,2525390,2467561
aln,4,19,100,10702306,6093824,2813527,1794955
aln,6,19,100,10702306,6214799,2953451,1534056
aln,8,19,100,10702306,6291673,3006971,1403662
mem,4,15,100,10805166,10511880,0,293286
mem,4,15,110,10805167,10511881,0,293286
mem,4,15,120,10805167,10511881,0,293286
mem,4,15,90,10805166,10511880,0,293286
mem,4,17,100,10805153,10509434,0,295719
mem,4,17,110,10805153,10509434,0,295719
mem,4,17,120,10805153,10509434,0,295719
mem,4,17,90,10805153,10509434,0,295719
mem,4,19,100,10804973,10507144,0,297829
mem,4,19,110,10804974,10507145,0,297829
mem,4,19,120,10804974,10507145,0,297829
mem,4,19,90,10804973,10507144,0,297829
mem,4,21,100,10788856,10483435,0,305421
mem,4,21,110,10788856,10483435,0,305421
mem,4,21,120,10788856,10483435,0,305421
mem,4,21,90,10788856,10483435,0,305421
